GID,semester,ACTHIGHEST,SATHIGHEST,ACTcalc,HS_GPA,first_generation,gender,race,PELL_ELIGIBLE,CUM_GPA,CAREER_LEVEL,class,Term,Instructor,PIDM
HZP0041,Su20,26,,26,3.76,N,M,Asian,,,U,FR,202130,Curtiss,3995159
ADS0074,Fa20,31,,31,4.45,N,F,Caucasian / White,Pell ineligible filer,3.6,U,FR,202010,Curtiss,3995485
ALH0137,Fa20,32,,32,4.33,,F,Caucasian / White,,,U,JR,202010,Curtiss,3997127
TAJ0026,Fa20,30,,30,4.24,N,M,Caucasian / White,Pell ineligible filer,3.5,U,FR,202010,Curtiss,3997970
MRM0120,Su20,30,,30,3.95,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3998482
KFR0006,Su20,27,,27,4.71,N,F,Caucasian / White,,,U,FR,202130,Curtiss,4000314
JSC0063,Fa20,32,,32,4.3,N,F,Caucasian / White,Pell ineligible filer,3.33,U,FR,202010,Curtiss,4000624
KHC0026,Fa20,29,,29,4.58,Y,F,Caucasian / White,Non-filer,3.5,U,FR,202010,Curtiss,4006133
MHC0035,Fa20,31,,31,4.6,N,F,Caucasian / White,Non-filer,4,U,FR,202010,Curtiss,4006136
AEG0055,Fa20,31,,31,4.6,N,F,Caucasian / White,Pell ineligible filer,3.81,U,FR,202010,Curtiss,4006215
SLO0015,Fa20,,1150,23,4.11,,F,Caucasian / White,Non-filer,3.46,U,FR,202010,Curtiss,4007187
BVB0006,Fa20,30,,30,4.17,N,F,Caucasian / White,Non-filer,3.21,U,FR,202010,Curtiss,4009675
CNF0022,Fa20,23,,23,4.29,N,F,Caucasian / White,Pell ineligible filer,2.45,U,FR,202010,Curtiss,4009775
BMM0063,Fa20,31,,31,4.09,N,F,Caucasian / White,Pell ineligible filer,3.25,U,FR,202010,Curtiss,4009922
AJW0093,Fa20,22,,22,4.12,N,F,Caucasian / White,Pell ineligible filer,3.33,U,FR,202010,Curtiss,4010083
WSP0015,Fa20,33,,33,3.8,N,M,Caucasian / White,Pell eliglble filer,2.8,U,FR,202010,Curtiss,4010142
RNS0019,Fa20,34,,34,4.56,N,F,Caucasian / White,Pell ineligible filer,4,U,JR,202010,Curtiss,4011034
EZH0040,Fa20,30,,30,4.18,N,F,Caucasian / White,Pell ineligible filer,3.75,U,FR,202010,Curtiss,4013887
BEC0035,Fa20,31,,31,4.31,N,M,Two or more races,Pell ineligible filer,4,U,FR,202010,Curtiss,4016505
MAC0161,Fa20,33,,33,4.07,N,F,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,4016512
CDC0077,Fa20,28,,28,3.95,N,M,Caucasian / White,Pell ineligible filer,3.77,U,FR,202010,Curtiss,4016513
AMK0095,Fa20,30,,30,4.24,N,F,Two or more races,Pell ineligible filer,4,U,FR,202010,Curtiss,4016670
DRT0012,Fa20,24,,24,4.07,N,F,Caucasian / White,Pell eliglble filer,3.42,U,FR,202010,Curtiss,4016831
FEL0002,Fa20,27,,27,4.24,N,F,Caucasian / White,Pell ineligible filer,3.73,U,FR,202010,Curtiss,4018597
MGM0082,Fa20,29,,29,3.72,N,F,Caucasian / White,Pell ineligible filer,3.08,U,FR,202010,Curtiss,4018633
VSP0002,Fa20,28,,28,3.97,N,F,Caucasian / White,Non-filer,3.5,U,FR,202010,Curtiss,4018702
MTR0033,Fa20,27,,27,4,N,F,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,4018734
JHH0057,Fa20,28,,28,4.17,N,M,Caucasian / White,Non-filer,3.38,U,FR,202010,Curtiss,4018980
JMH0197,Fa20,30,,30,4.05,Y,F,Asian,Pell eliglble filer,3.27,U,FR,202010,Curtiss,4023439
TKJ0009,Fa20,33,,33,3.72,N,M,Caucasian / White,Pell ineligible filer,3.6,U,SO,202010,Curtiss,4023440
ZTB0011,Fa20,,1310,28,4.75,N,M,Caucasian / White,Pell ineligible filer,3.54,U,JR,202010,Curtiss,4023489
KRM0064,Fa20,,1380,30,4.04,N,F,Caucasian / White,Non-filer,3.65,U,FR,202010,Curtiss,4024181
TJD0039,Fa20,25,,25,3.81,N,M,Caucasian / White,Pell ineligible filer,2.58,U,FR,202010,Curtiss,4024408
PAE0007,Fa20,29,,29,4.33,N,M,Hispanic,Pell ineligible filer,3.07,U,FR,202010,Curtiss,4024422
LSF0014,Fa20,31,,31,4.34,N,F,Caucasian / White,Non-filer,3.38,U,FR,202010,Curtiss,4024441
ANG0047,Fa20,31,,31,4.31,N,F,Caucasian / White,Pell ineligible filer,3.73,U,FR,202010,Curtiss,4024448
MCH0098,Fa20,24,,24,4.1,N,F,Caucasian / White,Pell eliglble filer,3.41,U,FR,202010,Curtiss,4024485
AJM0120,Fa20,34,,34,4.05,N,M,Caucasian / White,Non-filer,4,U,FR,202010,Curtiss,4024624
HER0043,Fa20,31,,31,4.06,N,F,Caucasian / White,Pell ineligible filer,3.8,U,FR,202010,Curtiss,4024755
EPS0018,Fa20,23,,23,4.15,N,F,Caucasian / White,Pell ineligible filer,3.21,U,FR,202010,Curtiss,4024816
KDW0052,Fa20,26,,26,3.05,N,F,Caucasian / White,Pell eliglble filer,2.14,U,FR,202010,Curtiss,4024941
RCS0065,Fa20,31,,31,3.78,N,M,Caucasian / White,Pell ineligible filer,2.71,U,FR,202010,Curtiss,4026305
TWK0005,Fa20,31,,31,4.28,N,M,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,4027208
LDW0025,Fa20,27,,27,4.24,N,M,Caucasian / White,Pell ineligible filer,3.69,U,FR,202010,Curtiss,4027721
MPB0034,Fa20,25,,25,3.95,N,F,Caucasian / White,Pell ineligible filer,2.79,U,FR,202010,Curtiss,4028633
BWM0022,Fa20,30,,30,4.05,N,M,Caucasian / White,Non-filer,3.73,U,FR,202010,Curtiss,4028930
MGP0033,Fa20,27,,27,4,N,F,Hispanic,Pell ineligible filer,2.93,U,FR,202010,Curtiss,4028982
WWT0005,Fa20,26,,26,3.98,N,M,Caucasian / White,Non-filer,3.5,U,FR,202010,Curtiss,4029167
CRC0106,Fa20,,1220,25,4.49,N,F,Caucasian / White,Pell ineligible filer,3.5,U,FR,202010,Curtiss,4030830
RZS0107,Fa20,29,,29,4.45,N,F,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,4031142
LAC0090,Fa20,26,,26,4.25,Y,F,Caucasian / White,Pell ineligible filer,3.33,U,FR,202010,Curtiss,4033289
JPG0040,Fa20,22,,22,4,Y,M,Two or more races,,,U,FR,202010,Curtiss,4033571
SGH0040,Fa20,29,,29,4.06,Y,F,Caucasian / White,Pell ineligible filer,3.82,U,FR,202010,Curtiss,4033757
RSL0015,Fa20,27,,27,4.01,N,M,Asian,Pell ineligible filer,3.19,U,FR,202010,Curtiss,4033871
EGL0021,Fa20,25,,25,4.52,N,F,Caucasian / White,Pell ineligible filer,3.57,U,FR,202010,Curtiss,4033877
EJM0045,Fa20,32,,32,4.4,N,M,Caucasian / White,Pell ineligible filer,4,U,SO,202010,Curtiss,4034090
ILH0002,Fa20,31,,31,4.06,N,M,Caucasian / White,Pell ineligible filer,3.56,U,FR,202010,Curtiss,4034795
MRW0077,Fa20,25,,25,4.13,N,F,Caucasian / White,Pell ineligible filer,3.07,U,FR,202010,Curtiss,4037069
KBB0042,Fa20,27,,27,4.41,Y,F,Caucasian / White,Pell ineligible filer,3.6,U,FR,202010,Curtiss,4037473
HLB0036,Fa20,24,,24,4.03,N,F,Caucasian / White,Pell ineligible filer,3.57,U,FR,202010,Curtiss,4037502
SPK0017,Fa20,30,,30,4.31,N,F,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,4038098
ELK0025,Fa20,25,,25,3.96,N,F,Caucasian / White,Non-filer,3.57,U,FR,202010,Curtiss,4038113
SML0063,Fa20,35,,35,4.34,N,F,Two or more races,Pell ineligible filer,4,U,SO,202010,Curtiss,4038140
MNP0022,Fa20,29,,29,4.01,Y,F,Two or more races,Pell eliglble filer,2.91,U,FR,202010,Curtiss,4038397
JTR0047,Fa20,27,,27,3.68,Y,F,Caucasian / White,Pell ineligible filer,2.33,U,FR,202010,Curtiss,4038471
KMC0130,Fa20,30,,30,4.01,N,F,Caucasian / White,Pell eliglble filer,3.8,U,FR,202010,Curtiss,4039471
CGG0031,Fa20,25,,25,3.82,N,M,Caucasian / White,Pell ineligible filer,3.53,U,FR,202010,Curtiss,4040330
BGW0012,Fa20,,1400,31,3.78,N,F,Caucasian / White,Non-filer,4,U,FR,202010,Curtiss,4040566
THD0012,Fa20,23,,23,3.31,Y,F,Asian,Non-filer,2.7,U,FR,202010,Curtiss,4041499
JAG0117,Fa20,25,,25,4.37,N,F,Hispanic,Pell ineligible filer,3.8,U,FR,202010,Curtiss,4041570
BOM0005,Fa20,32,,32,3.76,N,F,Caucasian / White,Non-filer,3.17,U,FR,202010,Curtiss,4041783
LAS0111,Fa20,31,,31,4.06,N,F,Caucasian / White,Pell ineligible filer,3.27,U,FR,202010,Curtiss,4042045
HAT0020,Fa20,34,,34,4.11,N,F,Caucasian / White,Pell ineligible filer,3.71,U,FR,202010,Curtiss,4042054
VZL0008,Fa20,29,,29,4.15,N,M,Asian,Pell eliglble filer,3.71,U,FR,202010,Curtiss,4042299
KSP0025,Fa20,31,,31,4.04,N,F,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,4042396
WGA0007,Fa20,30,,30,4,N,M,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,4043123
LCH0053,Fa20,27,,27,4.08,N,F,Two or more races,Pell ineligible filer,3.54,U,FR,202010,Curtiss,4043361
KSW0029,Fa20,35,,35,4.99,Y,F,Caucasian / White,Pell ineligible filer,4,U,SO,202010,Curtiss,4043717
JMG0119,Fa20,28,,28,4.17,N,M,Caucasian / White,Pell ineligible filer,3.18,U,FR,202010,Curtiss,4044226
EGA0010,Fa20,33,,33,4.4,N,F,Caucasian / White,Non-filer,4,U,FR,202010,Curtiss,4045201
JEB0119,Fa20,30,,30,3.98,N,F,Caucasian / White,Non-filer,3.09,U,FR,202010,Curtiss,4046105
MEH0137,Fa20,28,,28,4.27,N,F,Caucasian / White,Non-filer,3.57,U,FR,202010,Curtiss,4046231
NAS0063,Fa20,,1180,24,4.04,N,F,Caucasian / White,Non-filer,4,U,FR,202010,Curtiss,4047734
MEH0134,Fa20,32,,32,4.31,N,F,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,4048923
BAN0019,Fa20,,1300,28,4.03,N,F,Caucasian / White,Pell ineligible filer,3.73,U,FR,202010,Curtiss,4049618
DWP0019,Fa20,,1310,28,4.86,N,M,Caucasian / White,Non-filer,2.6,U,FR,202010,Curtiss,4049877
HZN0021,Fa20,,,,,,F,Non-Resident Alien,Non-filer,3.24,U,FR,202010,Curtiss,4050421
AEC0098,Fa20,29,,29,4.55,N,F,Caucasian / White,Pell ineligible filer,3.36,U,FR,202010,Curtiss,4050781
MIW0005,Fa20,27,,27,3.75,N,F,Caucasian / White,Pell ineligible filer,3.29,U,FR,202010,Curtiss,4052310
JML0104,Su20,,,,,,F,Caucasian / White,,,P,P1,202130,Curtiss,4052584
JML0104,Su20,,,,,Y,F,Caucasian / White,,,U,SR,202130,Curtiss,4052584
MRK0057,Fa20,31,,31,4.35,N,F,Caucasian / White,Pell ineligible filer,3.79,U,FR,202010,Curtiss,4052948
SGW0033,Fa20,30,,30,4.06,N,F,Caucasian / White,Pell ineligible filer,3.53,U,FR,202010,Curtiss,4053221
AKL0049,Fa20,29,,29,4.08,N,M,Caucasian / White,Non-filer,3.57,U,FR,202010,Curtiss,4053835
HMB0066,Fa20,,1170,24,4.03,N,F,Caucasian / White,Pell ineligible filer,3.79,U,FR,202010,Curtiss,4053999
ASK0051,Fa20,31,,31,4.19,Y,M,Two or more races,Pell ineligible filer,4,U,SO,202010,Curtiss,4054083
LTG0012,Fa20,34,,34,4.36,N,M,Caucasian / White,Non-filer,4,U,SO,202010,Curtiss,4054751
EJZ0003,Fa20,33,,33,4.56,N,M,Asian,Pell ineligible filer,4,U,FR,202010,Curtiss,4055903
NCY0002,Fa20,28,,28,3.88,N,M,Caucasian / White,Non-filer,4,U,FR,202010,Curtiss,4055904
ETS0021,Fa20,33,,33,4.54,N,M,Caucasian / White,Pell ineligible filer,3.5,U,FR,202010,Curtiss,4056693
NAJ0018,Fa20,34,,34,4.42,N,F,Caucasian / White,Non-filer,4,U,FR,202010,Curtiss,4056979
MEM0244,Fa20,29,,29,3.97,N,F,Caucasian / White,Pell ineligible filer,2.86,U,FR,202010,Curtiss,4057007
RMB0072,Fa20,,1230,26,3.85,N,F,Caucasian / White,Pell ineligible filer,2.31,U,FR,202010,Curtiss,4057376
KBH0045,Fa20,,1210,25,3.83,N,F,Caucasian / White,Pell ineligible filer,2.88,U,FR,202010,Curtiss,4058183
JKB0055,Fa20,30,,30,3.95,N,M,Hispanic,Pell ineligible filer,3.79,U,FR,202010,Curtiss,4059133
EBJ0011,Su20,34,,34,4.56,,F,Caucasian / White,,,U,FR,202130,Curtiss,4059179
EAS0100,Fa20,,1200,25,3.71,N,F,Caucasian / White,Pell ineligible filer,3.6,U,FR,202010,Curtiss,4059863
LGT0008,Fa20,32,,32,4.35,N,F,Caucasian / White,Non-filer,4,U,FR,202010,Curtiss,4059868
ART0043,Fa20,27,,27,4.14,N,F,Caucasian / White,Non-filer,3.5,U,FR,202010,Curtiss,4059870
MCT0060,Fa20,,1170,24,4.05,N,F,Caucasian / White,,,U,FR,202010,Curtiss,4060181
WHR0008,Fa20,32,,32,3.53,N,M,Caucasian / White,Pell ineligible filer,2.33,U,FR,202010,Curtiss,4060360
DMD0042,Fa20,24,,24,3.99,N,F,Hispanic,Pell ineligible filer,3,U,FR,202010,Curtiss,4061314
AAT0038,Fa20,26,,26,4.05,N,F,Caucasian / White,Pell eliglble filer,3.07,U,FR,202010,Curtiss,4061986
ALN0030,Fa20,26,,26,4.27,N,M,Caucasian / White,Pell ineligible filer,3.5,U,FR,202010,Curtiss,4062619
ARK0048,Fa20,,1370,30,3.88,N,F,Caucasian / White,Pell ineligible filer,3.45,U,FR,202010,Curtiss,4063498
KJS0049,Fa20,26,,26,3.5,N,M,Caucasian / White,Pell ineligible filer,3.79,U,FR,202010,Curtiss,4063719
CML0082,Fa20,30,,30,4.3,N,F,Asian,Pell ineligible filer,3.63,U,FR,202010,Curtiss,4063765
CZX0017,Fa20,,,,,,M,Non-Resident Alien,Non-filer,1.68,U,FR,202010,Curtiss,4064357
LRT0015,Fa20,28,,28,4.48,N,F,Caucasian / White,Pell ineligible filer,3.7,U,FR,202010,Curtiss,4064601
DEL0019,Fa20,29,,29,4.17,N,F,Caucasian / White,Pell ineligible filer,3.57,U,FR,202010,Curtiss,4064954
MKH0061,Fa20,26,,26,4.22,N,F,Caucasian / White,Pell ineligible filer,2.93,U,FR,202010,Curtiss,4065383
CPM0050,Fa20,30,,30,3.73,N,F,Caucasian / White,Non-filer,2,U,FR,202010,Curtiss,4065927
IMP0006,Fa20,29,,29,4.15,N,F,Caucasian / White,Pell ineligible filer,3.57,U,FR,202010,Curtiss,4065981
JKD0031,Fa20,23,,23,3.53,N,F,Black or African American,Pell ineligible filer,3.6,U,FR,202010,Curtiss,4067729
SEK0047,Fa20,,1340,29,4.45,N,F,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,4068039
SRL0031,Fa20,31,,31,3.79,N,F,Caucasian / White,Non-filer,2.57,U,FR,202010,Curtiss,4068466
CTC0061,Fa20,27,,27,3.92,N,M,Caucasian / White,Non-filer,4,U,FR,202010,Curtiss,4068840
LAW0073,Fa20,,1160,24,3.84,N,F,Two or more races,Pell ineligible filer,3.13,U,FR,202010,Curtiss,4068879
ZEC0004,Fa20,,1260,27,3.92,N,M,Caucasian / White,Non-filer,3.57,U,FR,202010,Curtiss,4069170
JWP0046,Fa20,24,,24,3.75,N,M,Caucasian / White,Non-filer,3.79,U,FR,202010,Curtiss,4070728
MNM0064,Fa20,27,,27,4.27,N,F,Caucasian / White,Pell ineligible filer,3,U,FR,202010,Curtiss,4072441
JDB0162,Fa20,28,,28,4,Y,M,Caucasian / White,Pell eliglble filer,2.62,U,FR,202010,Curtiss,4075699
BMM0070,Fa20,24,,24,4.03,N,M,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,4079950
BGM0020,Fa20,25,,25,4.03,N,M,Caucasian / White,Pell ineligible filer,3.5,U,FR,202010,Curtiss,4080379
TBD0020,Fa20,26,,26,3.84,,M,Non-Resident Alien,Non-filer,3.07,U,FR,202010,Curtiss,4081663
KMQ0006,Fa20,,,,,Y,F,Hispanic,Pell ineligible filer,2,U,JR,202010,Curtiss,4082762
JKB0058,Fa20,,1240,26,3.85,N,F,Black or African American,Pell eliglble filer,3,U,FR,202010,Curtiss,4082771
KZL0075,Fa20,26,,26,3.93,N,F,Caucasian / White,Non-filer,2.79,U,FR,202010,Curtiss,4083392
DAG0040,Fa20,29,,29,3.88,N,F,Caucasian / White,Non-filer,3.54,U,FR,202010,Curtiss,4085948
IMH0007,Fa20,,1140,23,3.22,Y,F,Caucasian / White,Non-filer,2.64,U,FR,202010,Curtiss,4088408
KMR0080,Su20,,,,,,F,Caucasian / White,,,U,SR,202130,Curtiss,4104965
NAC0031,Fa20,28,,28,3.48,N,M,Two or more races,Pell ineligible filer,2.27,U,FR,202010,Curtiss,4109267
MGS0074,Fa20,,,,,Y,M,Caucasian / White,,,U,JR,202010,Curtiss,4109700
BFM0010,Fa20,,,,,Y,F,Caucasian / White,,,U,JR,202010,Curtiss,4117690
AFP0025,Fa20,,,,,,F,Caucasian / White,,,U,SR,202010,Curtiss,4121140
NZB0052,Su20,,,,,,F,Native Hawaiian or Pacific Islander,,,U,FR,202130,Curtiss,4137968
CMM0216,Fa20,,,,,,M,Caucasian / White,,,G,PHD,202010,Curtiss,4152437
AEB0158,Fa20,27,,27,,,F,Caucasian / White,,,U,JR,202010,Curtiss,4155399
HWF0006,Su20,,,,,,M,Caucasian / White,,,U,FR,202130,Curtiss,4167818
